"filename", "language", "HTML", "XML", "JSON", "JSON with Comments", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\index.html", "HTML", 18, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\package-lock.json", "JSON", 0, 0, 967, 0, 0, 0, 0, 1, 968
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\package.json", "JSON", 0, 0, 19, 0, 0, 0, 0, 1, 20
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\public\vite.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Navbar\Navbar.ts", "TypeScript", 0, 0, 0, 0, 63, 0, 1, 11, 75
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Navbar\NavbarLogic.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 3, 14
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Navbar\navbarStyles.css", "CSS", 0, 0, 0, 0, 0, 177, 0, 27, 204
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\NoteEditor\NoteEditor.ts", "TypeScript", 0, 0, 0, 0, 60, 0, 0, 13, 73
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\NoteEditor\NoteEditorLogic.ts", "TypeScript", 0, 0, 0, 0, 67, 0, 2, 12, 81
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\NoteEditor\noteStyling.css", "CSS", 0, 0, 0, 0, 0, 60, 0, 9, 69
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Sidebar\Sidebar.ts", "TypeScript", 0, 0, 0, 0, 87, 0, 0, 19, 106
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Sidebar\SidebarLogic.ts", "TypeScript", 0, 0, 0, 0, 96, 0, 1, 16, 113
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Sidebar\sidebarStyling.css", "CSS", 0, 0, 0, 0, 0, 80, 0, 16, 96
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Pages\Home\index.css", "CSS", 0, 0, 0, 0, 0, 25, 0, 4, 29
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Pages\Home\index.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 4, 20
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Services\BaseService.ts", "TypeScript", 0, 0, 0, 0, 50, 0, 0, 9, 59
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Services\NoteService.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 4, 31
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\GlobalStore.ts", "TypeScript", 0, 0, 0, 0, 53, 0, 0, 11, 64
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\NotesStore.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\Date.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 3, 3, 20
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\Router.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 6, 40
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\tsconfig.json", "JSON with Comments", 0, 0, 0, 19, 0, 0, 2, 3, 24
"Total", "-", 18, 1, 986, 19, 578, 342, 9, 174, 2127
