"filename", "language", "HTML", "JSON", "XML", "TypeScript", "JSON with Comments", "CSS", "comment", "blank", "total"
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\index.html", "HTML", 18, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\package-lock.json", "JSON", 0, 967, 0, 0, 0, 0, 0, 1, 968
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\package.json", "JSON", 0, 19, 0, 0, 0, 0, 0, 1, 20
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\public\vite.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Navbar\Navbar.ts", "TypeScript", 0, 0, 0, 63, 0, 0, 1, 11, 75
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Navbar\NavbarLogic.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 5, 26
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Navbar\navbarStyles.css", "CSS", 0, 0, 0, 0, 0, 177, 0, 27, 204
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\NoteEditor\NoteEditor.ts", "TypeScript", 0, 0, 0, 76, 0, 0, 0, 11, 87
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\NoteEditor\NoteEditorLogic.ts", "TypeScript", 0, 0, 0, 137, 0, 0, 0, 21, 158
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\NoteEditor\noteStyling.css", "CSS", 0, 0, 0, 0, 0, 60, 0, 9, 69
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Sidebar\Sidebar.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 13, 43
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Sidebar\SidebarLogic.ts", "TypeScript", 0, 0, 0, 131, 0, 0, 1, 23, 155
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Sidebar\sidebarStyling.css", "CSS", 0, 0, 0, 0, 0, 81, 0, 16, 97
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Pages\Home\index.css", "CSS", 0, 0, 0, 0, 0, 25, 0, 4, 29
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Pages\Home\index.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 4, 24
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Services\BaseService.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 9, 61
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Services\NoteService.ts", "TypeScript", 0, 0, 0, 51, 0, 0, 0, 6, 57
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\GlobalStore.ts", "TypeScript", 0, 0, 0, 55, 0, 0, 0, 11, 66
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\NotesStore.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\Date.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 3, 16
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\Router.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 0, 8, 49
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 19, 0, 2, 3, 24
"Total", "-", 18, 986, 1, 690, 19, 343, 4, 188, 2249
